raw_facet,normalized_facet,category,conversation_observable,sensitivity,scoring_definition,abstention_reason
Arts and Humanities,Arts and Humanities,Personality/Cognitive,True,Low,"Measures the degree of 'Arts and Humanities' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Compassion,Compassion,Personality/Cognitive,True,Low,"Measures the degree of 'Compassion' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Information Retention,Information Retention,Personality/Cognitive,True,Low,"Measures the degree of 'Information Retention' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Eye-contact duration,Eye-contact duration,Personality/Cognitive,True,Low,"Measures the degree of 'Eye-contact duration' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Self-righteousness,Self-righteousness,Personality/Cognitive,True,Low,"Measures the degree of 'Self-righteousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
General Mood and Attitude,General Mood and Attitude,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Serotonin transporter availability,Serotonin transporter availability,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Contribution to Group Goals,Contribution to Group Goals,Personality/Cognitive,True,Low,"Measures the degree of 'Contribution to Group Goals' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Dignity,Dignity,Personality/Cognitive,True,Low,"Measures the degree of 'Dignity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Evaluating Solutions,Evaluating Solutions,Personality/Cognitive,True,Low,"Measures the degree of 'Evaluating Solutions' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Input,Input,Personality/Cognitive,True,Low,"Measures the degree of 'Input' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Discreteness,Discreteness,Personality/Cognitive,True,Low,"Measures the degree of 'Discreteness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Character strength: Social Intelligence,Character strength: Social Intelligence,Personality/Cognitive,True,Low,"Measures the degree of 'Character strength: Social Intelligence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Bravery,Bravery,Personality/Cognitive,True,Low,"Measures the degree of 'Bravery' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Childhood Experiences,Childhood Experiences,Personality/Cognitive,True,Low,"Measures the degree of 'Childhood Experiences' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Data-sharing consent level,Data-sharing consent level,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Vision-check frequency,Vision-check frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Physical-violence exposure,Physical-violence exposure,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Macronutrient ratio: fat,Macronutrient ratio: fat,Personality/Cognitive,True,Low,"Measures the degree of 'Macronutrient ratio: fat' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cooking and Culinary Arts,Cooking and Culinary Arts,Personality/Cognitive,True,Low,"Measures the degree of 'Cooking and Culinary Arts' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Language use,Language use,Personality/Cognitive,True,Low,"Measures the degree of 'Language use' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Dance-style mastery diversity,Dance-style mastery diversity,Personality/Cognitive,True,Low,"Measures the degree of 'Dance-style mastery diversity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Satya Adherence,Satya Adherence,Personality/Cognitive,True,Low,"Measures the degree of 'Satya Adherence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Ethnocentrism,Ethnocentrism,Personality/Cognitive,True,Low,"Measures the degree of 'Ethnocentrism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Emotional Boundaries,Emotional Boundaries,Personality/Cognitive,True,Low,"Measures the degree of 'Emotional Boundaries' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Creativity in solutions,Creativity in solutions,Personality/Cognitive,True,Low,"Measures the degree of 'Creativity in solutions' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Hope scale,Psychological construct: Hope scale,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Hope scale' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Depression (DEP),Depression (DEP),Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Understanding Mathematical Concepts,Understanding Mathematical Concepts,Personality/Cognitive,True,Low,"Measures the degree of 'Understanding Mathematical Concepts' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Hypomania (Ma),Hypomania (Ma),Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Goal-Directed Behavior,Goal-Directed Behavior,Personality/Cognitive,True,Low,"Measures the degree of 'Goal-Directed Behavior' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Depth of Emotional Connections,Depth of Emotional Connections,Personality/Cognitive,True,Low,"Measures the degree of 'Depth of Emotional Connections' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Binding foundations index,Binding foundations index,Personality/Cognitive,True,Low,"Measures the degree of 'Binding foundations index' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Ego Dissolution Frequency,Ego Dissolution Frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Activator: Turning thoughts into action,Activator: Turning thoughts into action,Personality/Cognitive,True,Low,"Measures the degree of 'Activator: Turning thoughts into action' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Exemplariness,Exemplariness,Personality/Cognitive,True,Low,"Measures the degree of 'Exemplariness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Moral and Ethical Parameters:,Moral and Ethical Parameters,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Submission:,Submission,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Frankness,Frankness,Personality/Cognitive,True,Low,"Measures the degree of 'Frankness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Psychological Safety climate' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Self-Compassion total' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Executive-Function composite' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Rebelliousness,Rebelliousness,Personality/Cognitive,True,Low,"Measures the degree of 'Rebelliousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Volunteer Work,Volunteer Work,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Intellect,Intellect,Personality/Cognitive,True,Low,"Measures the degree of 'Intellect' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Use of Mathematical Formulas,Use of Mathematical Formulas,Personality/Cognitive,True,Low,"Measures the degree of 'Use of Mathematical Formulas' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Coarseness,Coarseness,Personality/Cognitive,True,Low,"Measures the degree of 'Coarseness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Sensitivity,Sensitivity,Personality/Cognitive,True,Low,"Measures the degree of 'Sensitivity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Divided Attention Ability,Divided Attention Ability,Personality/Cognitive,True,Low,"Measures the degree of 'Divided Attention Ability' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Acculturative Stress score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Dauntlessness,Dauntlessness,Personality/Cognitive,True,Low,"Measures the degree of 'Dauntlessness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Concreteness,Concreteness,Personality/Cognitive,True,Low,"Measures the degree of 'Concreteness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Hysteria (Hy),Hysteria (Hy),Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Sentence Structure,Sentence Structure,Personality/Cognitive,True,Low,"Measures the degree of 'Sentence Structure' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Esteem Needs,Esteem Needs,Personality/Cognitive,True,Low,"Measures the degree of 'Esteem Needs' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Understanding mechanical concepts,Understanding mechanical concepts,Personality/Cognitive,True,Low,"Measures the degree of 'Understanding mechanical concepts' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Auditory Memory Recall,Auditory Memory Recall,Personality/Cognitive,True,Low,"Measures the degree of 'Auditory Memory Recall' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Storytelling proficiency,Storytelling proficiency,Personality/Cognitive,True,Low,"Measures the degree of 'Storytelling proficiency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Music-lessons years,Music-lessons years,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Warmheartedness,Warmheartedness,Personality/Cognitive,True,Low,"Measures the degree of 'Warmheartedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Self-effacement,Self-effacement,Personality/Cognitive,True,Low,"Measures the degree of 'Self-effacement' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Outspokenness,Outspokenness,Personality/Cognitive,True,Low,"Measures the degree of 'Outspokenness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sleep-environment temperature,Sleep-environment temperature,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Comprehension of spoken information,Comprehension of spoken information,Personality/Cognitive,True,Low,"Measures the degree of 'Comprehension of spoken information' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Blissfulness,Blissfulness,Personality/Cognitive,True,Low,"Measures the degree of 'Blissfulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sequential Memory Recall,Sequential Memory Recall,Personality/Cognitive,True,Low,"Measures the degree of 'Sequential Memory Recall' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Withdrawnness,Withdrawnness,Personality/Cognitive,True,Low,"Measures the degree of 'Withdrawnness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
892. Hindu spiritual metric: Yoga discipline hours / week,Hindu spiritual metric: Yoga discipline hours / week,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Conservatism,Conservatism,Personality/Cognitive,True,Low,"Measures the degree of 'Conservatism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
898. Hindu spiritual metric: Vrata vows observed / year,Hindu spiritual metric: Vrata vows observed / year,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Ardency,Ardency,Personality/Cognitive,True,Low,"Measures the degree of 'Ardency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Aesthetic Appreciation,Aesthetic Appreciation,Personality/Cognitive,True,Low,"Measures the degree of 'Aesthetic Appreciation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Transactional Leadership:,Transactional Leadership,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Value orientation: Universalism,Value orientation: Universalism,Personality/Cognitive,True,Low,"Measures the degree of 'Value orientation: Universalism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Perseverance,Perseverance,Personality/Cognitive,True,Low,"Measures the degree of 'Perseverance' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Regularity of Self-Reflection,Regularity of Self-Reflection,Personality/Cognitive,True,Low,"Measures the degree of 'Regularity of Self-Reflection' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Controlling Reactions,Controlling Reactions,Personality/Cognitive,True,Low,"Measures the degree of 'Controlling Reactions' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Cultural Intelligence – Behavioral' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Metabolic Rate (Low or High),Metabolic Rate (Low or High),Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Dietary Habits,Dietary Habits,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Significance: Desire to make an impact,Significance: Desire to make an impact,Personality/Cognitive,True,Low,"Measures the degree of 'Significance: Desire to make an impact' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Resilience-Trait score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Boredom Susceptibility,Boredom Susceptibility,Personality/Cognitive,True,Low,"Measures the degree of 'Boredom Susceptibility' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Consummatory Pleasure scale' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Leadership Styles and Behaviors:,Leadership Styles and Behaviors,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Macronutrient ratio: carbs,Macronutrient ratio: carbs,Personality/Cognitive,True,Low,"Measures the degree of 'Macronutrient ratio: carbs' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Passport-stamps count,Passport-stamps count,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Local-food sourcing %,Local-food sourcing %,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Patient care orientation,Patient care orientation,Personality/Cognitive,True,Low,"Measures the degree of 'Patient care orientation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Soft-skill training hours,Soft-skill training hours,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Graffiti appreciation,Graffiti appreciation,Personality/Cognitive,True,Low,"Measures the degree of 'Graffiti appreciation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,Personality/Cognitive,True,Low,"Measures the degree of 'Preference for Home-Cooked vs Restaurant Meals' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Immune-response age,Immune-response age,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,Personality/Cognitive,True,Low,"Measures the degree of 'Social-cognition variable: Cognitive Empathy' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Kink-interest diversity,Kink-interest diversity,Personality/Cognitive,True,Low,"Measures the degree of 'Kink-interest diversity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Adaptability and Flexibility:,Adaptability and Flexibility,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Judging Consequences,Judging Consequences,Personality/Cognitive,True,Low,"Measures the degree of 'Judging Consequences' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Harmfulness,Harmfulness,Personality/Cognitive,True,Low,"Measures the degree of 'Harmfulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Affinity,Affinity,Personality/Cognitive,True,Low,"Measures the degree of 'Affinity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Abasement,Abasement,Personality/Cognitive,True,Low,"Measures the degree of 'Abasement' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Chronic pain presence,Chronic pain presence,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
520. Discernment practice hours / week,Discernment practice hours / week,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Initiative,Initiative,Personality/Cognitive,True,Low,"Measures the degree of 'Initiative' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Courageousness,Courageousness,Personality/Cognitive,True,Low,"Measures the degree of 'Courageousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Joyfulness,Joyfulness,Personality/Cognitive,True,Low,"Measures the degree of 'Joyfulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Suspicion,Suspicion,Personality/Cognitive,True,Low,"Measures the degree of 'Suspicion' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Basophil count,Basophil count,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Attachment avoidance score,Attachment avoidance score,Personality/Cognitive,True,Low,"Measures the degree of 'Attachment avoidance score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Time Orientation End Points:,Time Orientation End Points,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Brazenness,Brazenness,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Talkativeness,Talkativeness,Personality/Cognitive,True,Low,Scores from 1 (very brief/quiet) to 5 (extremely talkative/elaborative) based on sentence length and text volume.,
Equitableness,Equitableness,Personality/Cognitive,True,Low,"Measures the degree of 'Equitableness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Ideas generated/day,Ideas generated/day,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Originality,Originality,Personality/Cognitive,True,Low,"Measures the degree of 'Originality' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,Personality/Cognitive,True,Low,"Scores from 1 (exceptionally polite/calm) to 5 (highly argumentative, hostile, or angry tone).",
Dance rehearsal hours/week,Dance rehearsal hours/week,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Public-transport km/week,Public-transport km/week,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Social Desirability Bias,Social Desirability Bias,Personality/Cognitive,True,Low,"Measures the degree of 'Social Desirability Bias' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Disagreeableness,Disagreeableness,Personality/Cognitive,True,Low,"Scores from 1 (exceptionally polite/calm) to 5 (highly argumentative, hostile, or angry tone).",
Participation in Community Activities,Participation in Community Activities,Personality/Cognitive,True,Low,"Measures the degree of 'Participation in Community Activities' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Impudence,Impudence,Personality/Cognitive,True,Low,"Measures the degree of 'Impudence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Analogies,Analogies,Personality/Cognitive,True,Low,"Measures the degree of 'Analogies' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Clumsiness,Clumsiness,Personality/Cognitive,True,Low,"Measures the degree of 'Clumsiness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,Personality/Cognitive,True,Low,"Measures the degree of 'Tendency Toward Compromise or Confrontation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Robotics-interaction frequency,Robotics-interaction frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Casual lifestyle,Casual lifestyle,Personality/Cognitive,True,Low,"Measures the degree of 'Casual lifestyle' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
